"County.Name","YearText","Birth_Defects_Per_10k"
"Gregg",2015,685.01
"Grimes",2015,366.97
"Guadalupe",2015,544.37
"Hale",2015,766.05
"Hall",2015,NA
"Hamilton",2015,NA
"Hansford",2015,NA
"Hardeman",2015,NA
"Hardin",2015,502.87
"Harris",2015,503.72
"Harrison",2015,460.05
"Hartley",2015,NA
"Haskell",2015,NA
"Hays",2015,450.49
"Hemphill",2015,NA
"Henderson",2015,703.13
"Hidalgo",2015,736.76
"Hill",2015,411.31
"Hockley",2015,626.87
"Hood",2015,562.96
"Hopkins",2015,923.42
"Houston",2015,389.61
"Howard",2015,619.83
"Hudspeth",2015,NA
"Hunt",2015,712.98
"Hutchinson",2015,383.28
"Irion",2015,NA
"Jack",2015,576.92
"Jackson",2015,710.9
"Jasper",2015,317.8
"Jeff Davis",2015,NA
"Jefferson",2015,402.12
"Jim Hogg",2015,NA
"Jim Wells",2015,547.73
"Johnson",2015,626.49
"Jones",2015,816.33
"Karnes",2015,666.67
"Kaufman",2015,592.45
"Kendall",2015,795.76
"Kenedy",2015,NA
"Kent",2015,NA
"Kerr",2015,518.52
"Kimble",2015,0
"King",2015,NA
"Kinney",2015,NA
"Kleberg",2015,574.71
"Knox",2015,NA
"La Salle",2015,NA
"Lamar",2015,529.41
"Lamb",2015,752.69
"Lampasas",2015,593.61
"Lavaca",2015,389.61
"Lee",2015,336.54
"Leon",2015,516.43
"Liberty",2015,476.61
"Limestone",2015,714.29
"Lipscomb",2015,NA
"Live Oak",2015,751.88
"Llano",2015,617.98
"Loving",2015,NA
"Lubbock",2015,919.93
"Lynn",2015,NA
"Madison",2015,551.72
"Marion",2015,NA
"Martin",2015,645.16
"Mason",2015,0
"Matagorda",2015,412.76
"Maverick",2015,460.87
"McCulloch",2015,NA
"McLennan",2015,714.69
"McMullen",2015,NA
"Medina",2015,615.38
"Menard",2015,NA
"Midland",2015,649.74
"Milam",2015,625
"Mills",2015,0
"Mitchell",2015,NA
"Montague",2015,506.33
"Montgomery",2015,527.68
"Moore",2015,617.85
"Morris",2015,869.57
"Motley",2015,NA
"Nacogdoches",2015,417.15
"Navarro",2015,391.57
"Newton",2015,661.76
"Nolan",2015,539.22
"Nueces",2015,552.26
"Ochiltree",2015,NA
"Oldham",2015,0
"Orange",2015,542.32
"Palo Pinto",2015,509.92
"Panola",2015,349.65
"Parker",2015,741.24
"Parmer",2015,NA
"Pecos",2015,492.61
"Polk",2015,284.7
"Potter",2015,463.2
"Presidio",2015,925.93
"Rains",2015,882.35
"Randall",2015,401.92
"Reagan",2015,NA
"Real",2015,NA
"Red River",2015,NA
"Reeves",2015,388.35
"Refugio",2015,606.06
"Roberts",2015,NA
"Robertson",2015,616.11
"Rockwall",2015,755.08
"Runnels",2015,714.29
"Rusk",2015,468.02
"Sabine",2015,NA
"San Augustine",2015,NA
"San Jacinto",2015,319.15
"San Patricio",2015,528.89
"San Saba",2015,NA
"Schleicher",2015,NA
"Scurry",2015,521.74
"Shackelford",2015,NA
"Shelby",2015,384.62
"Sherman",2015,NA
"Smith",2015,592.21
"Somervell",2015,NA
"Starr",2015,763.83
"Stephens",2015,593.22
"Sterling",2015,NA
"Stonewall",2015,NA
"Sutton",2015,NA
"Swisher",2015,NA
"Tarrant",2015,701.58
"Taylor",2015,481.64
"Terrell",2015,NA
"Terry",2015,529.1
"Throckmorton",2015,NA
"Titus",2015,540
"Tom Green",2015,488.09
"Travis",2015,497.79
"Trinity",2015,397.35
"Tyler",2015,375.59
"Upshur",2015,602.68
"Upton",2015,NA
"Uvalde",2015,794.39
"Val Verde",2015,421.29
"Van Zandt",2015,774.3
"Victoria",2015,535.98
"Walker",2015,359.82
"Waller",2015,541.46
"Ward",2015,710.66
"Washington",2015,423.94
"Webb",2015,414.64
"Wharton",2015,436.97
"Wheeler",2015,NA
"Wichita",2015,460.03
"Wilbarger",2015,395.48
"Willacy",2015,412.37
"Williamson",2015,499.84
"Wilson",2015,730.84
"Winkler",2015,NA
"Wise",2015,622.01
"Wood",2015,673.08
"Yoakum",2015,432.1
"Young",2015,418.6
"Zapata",2015,444.44
"Zavala",2015,512.82
"Anderson",2016,414.51
"Andrews",2016,402.68
"Angelina",2016,435.15
"Aransas",2016,756.3
"Archer",2016,NA
"Armstrong",2016,NA
"Atascosa",2016,574.37
"Austin",2016,579.71
"Bailey",2016,NA
"Bandera",2016,391.06
"Bastrop",2016,492.83
"Baylor",2016,NA
"Bee",2016,497.24
"Bell",2016,608.94
"Bexar",2016,658.67
"Blanco",2016,NA
"Borden",2016,NA
"Bosque",2016,398.01
"Bowie",2016,437.6
"Brazoria",2016,718.01
"Brazos",2016,488.07
"Brewster",2016,NA
"Briscoe",2016,NA
"Brooks",2016,NA
"Brown",2016,452.38
"Burleson",2016,657.28
"Burnet",2016,599.25
"Caldwell",2016,534.76
"Calhoun",2016,544.22
"Callahan",2016,641.03
"Cameron",2016,509.98
"Camp",2016,529.41
"Carson",2016,NA
"Cass",2016,426.83
"Castro",2016,673.08
"Chambers",2016,723.33
"Cherokee",2016,631.14
"Childress",2016,NA
"Clay",2016,NA
"Cochran",2016,NA
