"County","FIPS.Code","Population","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smarphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","Alc.Establisments.per.100k","Percent.Days.Good.Air.Quality","Toxic.Sites.Insufficient.Data","Toxic.Sites.Under.Control","Toxic.Sites.Not.Under.Control","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate.Year","Diabetes.Rate.LocationName","Diabetes.Rate.Data_Value","Binge.Drinking.Rate","Smoking.Rate.Year","Smoking.Rate.LocationName","Smoking.Rate.Data_Value","Depression.Rate.Year","Depression.Rate.LocationName","Depression.Rate.Data_Value","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Traffic.Fatalities.per.100k","Traffic.Fatalities.BAC.08.per.100k","Opioid.Dispensing.Rate.per.100","PCPs.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","LBSWs.per.100k","LMSWs.per.100k","Dentists.per.1k","Nurse.Practitioners.per.1k","Physician.Assistants.per.1k","Mental.Health.Providers.per.100k","Percent.Clinicians.Accpeting.Medicaid","Dentist.Shortage.Code","Mental.Healthcare.Shortage.Code","Primary.Care.Shortage.Code","Urgent.Care.Orgs.per.1k","Health.Centers.per.1k","Community.Mental.Health.Centers.per.1k","Rural.Health.Clinics.per.1k","Home.Health.Agencies.per.1k","Hospices.per.1k","Nursing.Facilities.per.1k","Nursing.Facility.Beds.per.1k","Skilled.Nursing.Facilities.per.1k","Skilled.Nursing.Facility.Beds.per.1k","Nursing.Home.Occupancy.Rate","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Average.Rehospitalization.Rate","Average.Successful.Discharge.Rate","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Syringe.Exchange.Programs.per.1k","Substance.Abuse.Facilities.per.1k","Substance.Abuse.Facilities.Accepting.Medicare.per.1k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Presidio","48377","6808","0.9881","0.996","1","0.9249","0.6364","42.5","26.62","23.99","2.01","0","80.21","78.06","31.36","0.82","6","27.79","9.65","33.76","75.33","8.76","2.75","13.16","9.69","","","0","0","0","0.49","14.7","22716","","","20625","","39.88","0","","48.1","7.64","43.49","77200","397","51.48","10.87","18.17","14.64","4.84","32.67","6.23","0.9","25.19","44","2020","Presidio","25.9","12.2","2020","Presidio","21.7","2020","Presidio","21","9","1","9","0","0","","64.19","","","","","","","29.377203","29.377203","5.8","50.8","0","50.8","16.9","0","0","0","0.15","0.15","44.75","100","1","1","1","0","0","0","0.29","0","0","0","0","0","0","","","","","","0","100","0","0","0","0","0.1537","0.1537","168.6","46.77","46.98","46.98","172.3","46.77","1.54","148.8"
"Rains","48379","12001","0.1107","0.2332","0.166","0.0395","0.1502","48.5","19.21","24.02","0.36","2.79","9.28","90.38","1.97","13.24","6","12.52","14.49","17.47","28.66","28.03","27.28","16.03","3.86","","","0","0","0","0.46","4.7","52612","","","","53545","11.96","0","1.57","9.31","11.34","13.28","131100","713","16.96","37.69","30.05","10.69","4.61","12.11","10.82","7.18","18.09","36.9","2020","Rains","14.2","16.1","2020","Rains","19.8","2020","Rains","22.8","17","2","20","1","2","","59.7","33.17","21.56","","","","16.58","33.330556","8.332639","1.5","8.8","0","17.6","0","17.6","8.8","0.16","0.08","0.08","39.96","100","0","2","1","0","0","0","0.17","0","0","0.33","5.67","0","0","","","","0.25","1","100","0","0","0","0","0","0.0797","0.0797","41.62","15.24","20.63","15.24","23.6","18.03","2.67","25.61"
"Randall","48381","136005","0.0711","0.0593","0.0593","0.3004","0.2174","36","24.02","15.04","1.95","2.86","22.38","86.62","1.84","9.19","3","5.05","8.61","8.69","35.03","46.1","14.58","4.29","3.01","7.352671","77.59","0","0","0","0.44","4.5","68186","61689","48233","62646","70736","10.01","8.26","21.86","10.61","9.37","6.35","174100","947","7","24.24","37.82","21.05","9.89","9.17","5.12","5.87","9.6","32.6","2020","Randall","10.5","19","2020","Randall","15.9","2020","Randall","21.6","15","2","16","1","2","612.9","51.26","14.25","21.74","3.67","","5.14","13.66","9.558472","3.676335","26.8","31.9","15.2","99.2","15.2","36.9","56.5","0.58","0.5","0.11","92.95","95.65","0","0","2","0.01","0.01","0","0","0.05","0.02","0.03","3.13","0","0","81.67","50","100","0.15","0.53","62.5","34.38","3.13","0","0","0","0","0","2.07","2.92","2.37","4.35","4.35","3.51","5.41","3.68"
"Reagan","48383","3766","0.3123","0.5296","0.0751","0.8933","0.166","30.6","30.27","9.8","1.09","1.09","69.92","48.09","9.85","4.99","6","4.21","23.28","21.31","58.85","10.76","15.16","15.22","1.79","","","0","0","0","0.38","9.7","61659","","","55938","90104","10.8","0","0","13.74","4.25","6.27","98300","857","17.37","43.07","27.9","7.52","4.14","7.93","4.96","1.98","22.05","39.1","2020","Reagan","13.6","18.3","2020","Reagan","16.6","2020","Reagan","19.4","10","0","16","3","0","","64.03","","","","","","","26.553372","26.553372","1.6","47.3","0","0","0","0","0","0","0.78","0","","100","1","1","2","0","0","0","0","0.27","0","0.27","9.56","0","0","","","","","","0","0","100","0","0","0","0","0","37.45","0.92","56.59","0.92","60.49","33.09","37.45","38.47"
"Real","48385","3429","0.5336","0.4664","0.6877","0.1897","0.6206","52.8","22.57","29.72","0.06","1.17","24.12","94.93","1.59","10.66","6","15.15","15.55","31.26","59.65","23.75","13.08","3.53","5.58","","","0","0","0","0.52","6.7","38659","","","25486","40190","25.69","100","","41.52","20.53","12.84","146900","785","12.1","35.27","35.85","11.23","5.55","22.07","5.97","5.34","22.7","38.8","2020","Real","19","13.4","2020","Real","19.6","2020","Real","21.6","18","5","17","1","1","","99.07","","","","","","","145.815106","29.163021","1.4","0","0","0","29.4","29.4","29.4","0.59","0.29","0.59","28.97","50","1","1","1","0","0.87","0","0","0","0","0.29","22.46","0","0","","","","1","","80","20","0","0","0","0","0","0","34.23","30.49","35.3","35.3","76.33","35.3","3.64","49.53"
"Red River","48387","12115","0.3636","0.5375","0.0909","0.2292","0.5375","47.5","19.88","25.31","0.09","16.03","7.37","78.21","0.52","6.43","6","21.56","9.97","23.41","25.48","29.67","37.38","7.47","6.24","","","0","0","0","0.46","6.4","37135","","30929","19180","44646","20.24","100","33.98","53.79","13.44","13.59","77900","571","11.04","39.49","33.8","11.39","4.28","17.1","10.95","5.27","14.55","38.7","2020","Red River","16.4","14.9","2020","Red River","20.8","2020","Red River","22.1","23","3","19","1","2","","89.07","41.23","24.74","","","","","33.016921","16.508461","82.2","15.9","0","39.7","15.9","47.6","15.9","0.25","0.25","0","33.27","72.73","1","1","1","0","0","0","0.25","0.08","0","0.25","33.51","0","0","40","100","100","0.22","0.39","85.71","14.29","0","0","0","0","0.0834","0.0834","27.02","9.73","25.17","9.73","27.38","22.61","12.8","39.31"
"Reeves","48389","15546","0.8458","0.8972","0.3913","0.913","0.8182","35.2","22.36","11.75","1.17","2.11","74.78","77.92","12.43","4.96","5","21.5","12.67","33.83","68.4","9.2","10.22","12.19","6.79","","","0","0","0","0.44","7.1","61543","","","48568","136750","16.2","77.03","1.11","16.5","12.79","11.03","91600","859","30.64","36.18","22.62","7.52","3.03","14.77","5.02","2.66","21.34","40.6","2020","Reeves","14.2","19.2","2020","Reeves","18.8","2020","Reeves","18.8","14","2","10","1","0","434.78","56.54","32.12","","","","","14.13","64.325228","12.865046","31.8","50.9","6.4","6.4","6.4","6.4","6.4","0.13","0.25","0.13","6.26","100","1","1","2","0","0","0","0.13","0.06","0.06","0.06","5.72","0","0","74.16","100","100","0.15","0.23","28.57","28.57","42.86","0","0","0","0.0627","0.0627","82.85","1.79","1.79","1.79","83.84","1.79","1.3","72.67"
"Refugio","48391","7015","0.6561","0.585","0.8221","0.7589","0.3123","43.7","23.22","21.94","0.19","5.84","50.79","80.31","2.96","8.3","6","16.56","12.39","25.84","45.72","14.62","29.95","9.71","9.16","","","0","0","0","0.44","8.2","51054","","","47716","54009","15.26","0","49.61","16.59","9.63","16.99","85500","637","17.39","40.98","30.55","7.95","3.12","19.43","9.29","4.1","14.21","39.1","2020","Refugio","16.9","15.2","2020","Refugio","17.4","2020","Refugio","20.2","19","4","16","1","3","823.53","56.49","36.72","","","","","","42.765502","14.255167","9.6","39.6","13.2","39.6","0","0","0","0.29","0.29","0.29","14.39","100","2","1","1","0","0","0","0.43","0.14","0","0.29","16.96","0","0","","","","0.13","0.75","28.57","42.86","28.57","0","0","0","0","0","37.13","3","3","3","38.38","23.49","2.75","26.38"
"Roberts","48393","784","0.004","0.0119","0.0553","0.0514","0.1186","47.2","23.47","24.87","0","0","11.86","96.68","0","9.83","6","8.21","1.52","17.63","47.79","37.02","12.98","2.21","8.21","","","0","0","0","0.38","4.6","61964","","","61429","61607","10.75","","","55.56","5.71","0.91","134200","760","7.27","33.33","35.46","16.13","7.8","4.85","3.83","5.61","10.08","34.2","2020","Roberts","12","17.5","2020","Roberts","16.7","2020","Roberts","21.8","9","0","13","0","0","","","","","","","","","","","","0","0","0","0","101.7","0","0","0","0","0","100","1","1","1","0","0","0","1.28","1.28","0","0","0","0","0","","","","","","0","100","0","0","0","0","0","0","75.17","18.86","18.86","18.86","77.69","18.86","3.66","77.45"
"Robertson","48395","17094","0.5375","0.419","0.5652","0.5375","0.5889","41.4","23.71","19.23","0.51","20.22","21.16","73.8","2.16","7.71","4","15.91","18.52","25.07","33.43","27.94","30.97","7.66","8.88","","100","0","0","0","0.47","6.4","53823","110550","27478","65500","56071","14.64","0","35.65","6.54","10.43","18.3","121600","752","15.33","37.36","28.89","12.81","5.62","18.97","5.96","3.36","13.94","38.5","2020","Robertson","15","15.6","2020","Robertson","19.6","2020","Robertson","21.5","18","3","20","1","1","422.54","67.86","28.08","12.87","","","","12.87","35.100035","5.850006","5.7","0","5.9","29.6","5.9","23.7","23.7","0.06","0.35","0.12","11.71","100","1","1","1","0","0.06","0","0.23","0.06","0","0.29","15.09","0","0","63.49","66.67","66.67","0","0.5","87.5","12.5","0","0","0","0","0","0","25.69","7.55","28.83","21.08","47.79","7.55","1.43","25.06"
"Rockwall","48397","101175","0.0079","0.0198","0.0277","0.3083","0.0474","37.6","26.99","12.15","2.9","6.71","18.08","80.01","1.72","8.42","2","2.4","3.46","3.69","19.54","23.51","41.04","15.91","1.76","","95.04","0","0","0","0.41","6","105956","93300","93836","76962","110801","3.76","5.7","10.39","5.9","2.52","3.59","283000","1472","6.98","17.56","32.61","26.96","15.89","5.92","3.68","4.61","9.29","33.2","2020","Rockwall","9.5","19.3","2020","Rockwall","13.9","2020","Rockwall","20.8","18","3","18","2","2","766.9","29.04","8.3","12.84","2.17","","6.91","10.67","5.930319","2.965159","42.2","91.9","10.8","99.8","27.4","11.7","25.4","0.74","0.73","0.39","128.68","97.62","0","0","0","0.01","0","0","0","0.01","0.01","0.04","2.73","0","0","47.4","100","100","0.26","0.3","66.67","33.33","0","0","0","0","0","0","5.13","3.8","4.16","6.11","21.65","4.16","14.53","13.4"
"Runnels","48399","10280","0.166","0.2806","0.502","0.4506","0.0593","40.4","23.92","20.73","0.07","2.44","34.46","86.14","0.93","7.74","6","15.65","13.11","20.95","40.7","24.69","26.75","7.86","3.11","","","0","0","0","0.42","4.9","48489","","","45066","52325","12.69","0","24.52","18.93","8.56","11.05","85200","762","18.94","35.09","29.37","13.18","3.43","14.66","5.94","6.2","13.04","37.6","2020","Runnels","14.8","16.2","2020","Runnels","18.6","2020","Runnels","21.6","14","2","18","2","1","","83.31","31","","","","","","58.365759","9.727626","35.6","81.8","9.1","18.2","18.2","18.2","36.3","0.19","0.58","0.29","38.97","100","1","1","1","0","0","0","0.68","0.19","0.1","0.49","31.32","0","0","42.13","100","100","0.11","0.29","35.71","35.71","28.57","0","0","0","0.0961","0.0961","31.24","1.13","13.57","13.57","35.95","8.31","0.64","31.16"
"Rusk","48401","53988","0.4783","0.4545","0.3518","0.4032","0.5929","38.2","22.26","16.72","0.54","16.36","17.09","76.11","2.8","7.12","4","12.8","14.29","25.3","28.27","32.06","31.13","8.54","3.94","","93.39","0","0","0","0.46","7.3","56223","75865","36069","45399","66011","11.23","4.13","15.88","20.02","7.86","11.12","131200","813","17.38","32.2","34.47","10.38","5.56","15.38","5.97","5","16.74","39.6","2020","Rusk","13.3","17.8","2020","Rusk","20.3","2020","Rusk","22.4","18","4","18","1","2","527.21","65.12","33.86","18.23","5.21","","","9.3","29.636215","12.965844","18.9","41.7","49.3","39.8","0","15.2","19","0.31","0.35","0.07","25.73","99.4","2","2","2","0","0","0","0.09","0.11","0","0.17","15.63","0.04","0.57","62.62","100","66.67","0.16","0.51","62.96","29.63","7.41","0","0","0","0.0184","0.0184","23.76","4.68","20.89","10.15","22.65","10.15","4.45","10.32"
"Sabine","48403","10470","0.2727","0.6719","0.3715","0.0553","0.1344","53","18.47","30.59","0.23","5.48","4.68","88","0.15","13.65","6","11.43","11.38","19.23","42.98","24.53","22.6","9.89","4.6","","","0","0","0","0.5","10.8","38917","","23043","31471","41964","18.83","0","24.96","31.96","17.93","13.66","99900","659","14.31","35.15","33.19","10.28","7.07","15.74","8.8","9.64","11.93","38.1","2020","Sabine","17.4","14","2020","Sabine","20.6","2020","Sabine","22.6","17","3","16","1","3","","85.87","32.44","24.81","","","","","38.204394","19.102197","29","30.2","10.1","20.1","0","10.1","10.1","0.29","0.86","0.48","9.49","100","1","1","1","0","0","0","0.38","0.19","0","0.38","8.6","0","0","52.22","100","100","0.21","0.29","45.45","36.36","18.18","0","0","0","0","0","47.05","8.54","30.76","8.54","49.89","10.44","2.58","38.28"
"San Augustine","48405","8260","0.7391","0.7628","0.6561","0.3162","0.8221","48.8","19.67","26.83","0.11","21.94","7.37","71.68","0.4","13.56","6","16.38","16.7","25.03","43.36","23.48","28.71","4.45","8.51","","","0","0","0","0.46","9.6","41568","","29536","","44420","26.41","0","26.78","56.26","23.62","19.29","75500","626","18","41.8","26.23","9.06","4.9","20.43","6.91","7.77","15.16","40.2","2020","San Augustine","18.6","13.9","2020","San Augustine","22.7","2020","San Augustine","22.4","18","4","21","1","2","","99.3","50.86","","","","","","24.213075","24.213075","28.5","23.8","0","11.9","0","11.9","23.8","0.48","0.61","0","12.14","76.92","0","1","1","0","0","0","0.48","0.24","0","0.36","26.39","0","0","61.11","100","0","0.22","0.5","70","20","10","0","0","0","0.1212","0.1212","36.17","4.11","29.96","20.3","31.92","20.87","4.12","32.38"
"San Jacinto","48407","28574","0.3913","0.7391","0.336","0.2095","0.1739","45.1","21.68","21.77","0.15","9.4","13.51","84.56","1.22","9.39","6","10.52","16.11","16.59","18.46","20.76","31.42","29.36","2.68","","","0","0","0","0.44","8.1","44566","","41415","36075","51971","13.59","0","11.45","15.62","12.89","15.09","126700","890","14.51","42.54","27.79","10","5.17","20.36","10.07","4.7","18.65","38.9","2020","San Jacinto","15.3","15.9","2020","San Jacinto","21.2","2020","San Jacinto","23.4","18","4","17","1","3","405.41","61.6","23.1","19.6","7","","8.4","19.6","27.99748","10.499055","3.4","13.9","3.5","6.9","6.9","3.5","6.9","0.03","0.07","0.03","10.4","100","1","1","1","0","0","0","0.03","0.07","0","0","0","0","0","68","100","0","0.13","0","0","100","0","0","0","0","0","0","15.87","11.42","16.39","15.62","37.51","15.62","8.08","17.1"
"San Patricio","48409","66969","0.7905","0.6877","0.8419","0.8024","0.668","35.6","26.88","14.85","0.87","1.65","58.15","87.52","3.12","9.63","3","12.65","10.96","23.77","32.23","33.93","28.54","5.3","6.29","5.972913","","0","1","0","0.46","10.3","56111","65947","40156","45584","73912","15.17","13.81","32.75","20.69","5.89","17.55","129400","1047","18.61","32.75","32.76","10.78","5.1","17.49","7.2","4.54","16.41","43","2020","San Patricio","15","16.4","2020","San Patricio","19.2","2020","San Patricio","21.6","19","3","18","1","3","730.16","50.07","17.88","16.09","6.26","","5.07","13.71","19.411967","8.959369","27.6","30.8","22.4","30.8","7","9.8","11.2","0.43","0.45","0.21","38.96","93.62","0","1","1","0","0.01","0.01","0.18","0.07","0","0.07","7.05","0.01","0.12","72.63","100","100","0.1","0.63","63.16","26.32","10.53","0","0","0.0149","0.0149","0.0149","14.81","6.84","8.7","13.91","15.21","10.35","4.35","9.63"
"San Saba","48411","6004","0.5455","0.7431","0.4704","0.3874","0.3083","42","19.8","23.43","0.12","1.5","30.46","81.31","4.45","7.91","6","13.03","14.76","17.1","43.68","17.87","17.78","20.67","4.4","","","0","0","0","0.48","5.2","45169","","","40556","46813","13.34","0","","19.4","11.16","6.84","119400","777","19.2","36.97","26.46","14.29","3.07","14.18","6.43","7.99","24.47","37.4","2020","San Saba","14.9","16.7","2020","San Saba","19.7","2020","San Saba","21.5","13","2","13","1","1","","56.57","","","","","","","","","5.6","17","34.1","51.1","0","17","17","0.17","0.33","0.17","33.03","100","0","1","1","0.17","0.17","0","0.5","0.17","0","0.5","23.82","0","0","","","","","","71.43","28.57","0","0","0","0","0","0","2.08","2.08","36.54","31.22","82.02","34.61","1.66","56.81"
"Schleicher","48413","2898","0.5138","0.913","0.3953","0.7312","0.0435","36.6","25.71","23.43","0","1.55","53.45","60.59","5.5","3.44","6","19.5","13.9","31.37","67.92","11.09","8.71","12.28","1.74","","","0","0","0","0.43","6.9","45250","","","35365","61250","17.12","","11.11","24.85","8.43","6.95","80900","400","20.76","28.2","34.96","13.06","3.02","7.25","8.27","1.74","25.64","37.7","2020","Schleicher","15.4","16.2","2020","Schleicher","17.1","2020","Schleicher","20.9","11","2","14","1","2","","","","","","","","","","","22.8","30.2","0","30.2","0","0","0","0","0.36","0","35.8","100","1","1","1","0","0","0","0.69","0","0","0.35","11.73","0","0","85.29","0","0","0","","0","20","80","0","0","0","0","0","37.84","0.14","0.82","0.14","38.7","1.31","0.14","38.7"
"Scurry","48415","16918","0.5217","0.5692","0.1621","0.6403","0.6126","36.5","24.74","15.08","0.82","3.9","41.07","83.36","2.4","7.01","5","9.8","18.15","20.49","58.35","26.59","10.36","4.7","5.31","","","0","0","0","0.42","8.2","50277","38879","43750","48879","52404","12.75","0","17.01","19.07","7.9","5.1","87600","757","19.78","33","31.1","11.51","4.61","11.62","8.25","4.17","19.66","37.8","2020","Scurry","13.5","18","2020","Scurry","19.5","2020","Scurry","21.6","14","2","15","0","2","483.09","73.27","24.82","17.73","","","","","35.465185","11.821728","15.5","70.8","10.9","16.3","5.4","10.9","0","0.54","0.18","0.18","23.95","100","0","1","1","0","0","0","0.06","0.06","0","0.18","10.23","0","0","","","","0.27","0.29","50","16.67","33.33","0","0","0","0.06","0.06","69.92","2.99","34.8","2.99","70.48","2.99","2.99","71.35"
"Shackelford","48417","3291","0.3281","0.332","0.7984","0.0395","0.2332","44.7","23.37","19.69","0.43","0.21","11.7","95.05","0.29","10.47","6","16.97","11.85","17.85","36.41","28.43","27.45","7.7","5.56","","","0","0","0","0.45","5.3","48212","","","46836","49135","11.33","0","","7.14","12.07","8.71","110000","754","11.95","20.5","34.93","23.2","9.43","12.09","5.45","7.01","15.09","33.2","2020","Shackelford","12.5","17","2020","Shackelford","16.4","2020","Shackelford","22.3","19","2","20","1","1","0","","","","","","","","","","2.9","29.4","29.4","58.7","0","0","0","0","0.61","0","61.26","100","2","1","1","0","0","0","0.3","0","0","0.3","24.31","0","0","","","","","","33.33","33.33","33.33","0","0","0","0","0","27.11","2.93","29.02","24.72","29.02","29.02","3.03","32.24"
"Shelby","48419","25263","0.917","0.8696","0.9565","0.4427","0.8854","38.3","26.16","17.62","0.45","18.64","18.43","76.07","3.65","6.07","6","13.56","20.44","24.48","43.27","24.68","23.07","8.97","7.41","","","0","0","0","0.47","6.8","41170","","26197","34173","47623","23.32","0","35.08","45.11","13.39","17.25","81800","631","22.01","34.53","29.44","10.33","3.68","18.12","7.14","5.04","21.66","40.9","2020","Shelby","16","16.1","2020","Shelby","22.5","2020","Shelby","23.6","17","3","13","1","3","591.72","76.56","41.83","15.79","10.26","","","15","19.79179","11.875074","18.9","15.7","0","70.5","11.7","23.5","27.4","0.32","0.84","0.12","55.39","70.59","2","1","1","0","0","0","0.24","0.08","0","0.16","13.97","0","0","54.17","0","0","0.14","0.6","63.64","27.27","9.09","0","0","0.0401","0","0","44.64","6.51","29.86","25.36","30.65","6.83","1.72","29.11"
"Sherman","48421","3046","0.2016","0.2095","0.2885","0.6206","0.17","40.3","23.08","15.59","1.15","0.49","43.57","83.36","6.92","7.04","6","10.93","13.83","16.92","54.61","15.7","22.52","7.16","1.78","","","0","0","0","0.53","3.1","57130","","","43478","76141","11.24","0","21.43","18.84","5.31","2.99","93900","793","25.55","24.62","31.34","14.71","3.78","12.65","4.24","2.35","17.29","36.4","2020","Sherman","13.3","17.6","2020","Sherman","17.5","2020","Sherman","21.2","11","1","9","1","2","","","","","","","","","164.149705","65.659882","0.3","0","0","0","0","30.5","0","0","0.33","0","","100","1","1","1","0","0","0","0.66","0","0","0.33","10.83","0","0","63.64","0","0","","","0","66.67","33.33","0","0","0","0","0","38.32","32.43","32.43","32.43","78.42","32.43","3.33","78"
"Smith","48423","230184","0.4941","0.4941","0.4427","0.4862","0.498","36.9","24.51","16.57","1.64","17.09","19.69","74.96","3.63","6.63","4","7.11","12","13.95","27.82","42.23","24.28","5.68","3.83","2.60661","96.17","0","0","0","0.46","6.8","59450","52877","45701","54035","65988","13.95","16.67","18.82","21.2","9.77","9.48","164200","955","12.91","23.5","36.55","18.26","8.78","14.1","5.59","5.45","16.51","38.4","2020","Smith","12.8","16.7","2020","Smith","17.1","2020","Smith","22.2","18","4","19","1","2","620.08","54","18.23","20.14","5.12","","2.95","9.72","21.287318","6.950961","99.5","120.8","30.6","90.2","18.7","36.6","30.6","0.63","1.38","0.45","124.17","98.74","2","2","2","0.01","0.01","0.01","0","0.12","0.03","0.11","7.15","0","0.07","98.81","85.71","71.43","0.21","0.38","64.23","29.93","5.84","0","0","0.0042","0.0127","0.0085","4.89","2.82","4.96","4.96","35.72","3.93","4.36","4.91"
"Somervell","48425","8958","0.1739","0.1739","0.2095","0.1028","0.3518","42.8","22.32","19.13","0.64","1.15","18.16","90.21","1.37","8.06","2","8.01","2.8","10.3","27.54","23.98","28.73","19.75","2.86","","","0","0","0","0.43","6.5","64394","","","42000","72450","16.11","0","100","37.5","10.28","8.62","205800","715","8.15","34.69","28.28","21.12","7.76","10.79","8.08","4.42","13.75","36.5","2020","Somervell","12.7","17.4","2020","Somervell","17.3","2020","Somervell","22","17","4","18","1","1","","100.22","42.31","26.72","","","","","11.163206","0","45.7","96.8","0","53.8","0","43","32.3","0.33","0.88","0.22","21.91","96.88","0","1","2","0","0","0","0","0","0","0.11","6.7","0","0","","","","0.06","0.69","0","0","100","0","0","0","0","0","26.75","1.72","13.99","1.72","42.21","13.99","19.3","23.88"
"Starr","48427","64032","0.9802","1","0.9605","1","0.6482","29","32.91","11.33","0.01","0.09","98.9","83.53","32.86","1.98","5","18.5","22.35","37.7","39.28","34.18","15.05","11.49","10.87","","","0","0","0","0.5","17.3","30931","","","30788","73333","34.18","100","5.26","34.38","14.16","38.53","76900","572","42.39","26.51","20.16","7.65","3.29","34.07","3.92","1.97","33.45","43.4","2020","Starr","19.1","15.8","2020","Starr","20.3","2020","Starr","20.7","24","4","22","1","1","639.87","27.64","12.11","5.59","5.59","","","3.73","4.685157","3.123438","25.6","26.3","7.7","29.4","0","15.4","12.4","0.12","0.25","0.34","17.02","95.24","1","1","1","0","0.12","0.02","0.11","0.03","0","0.03","2.87","0","0","100","50","100","0.16","0.52","66.67","28.57","4.76","0","0","0","0.0156","0.0156","33.79","6.87","35.2","6.87","39.67","6.87","2.28","39.66"
"Stephens","48429","9358","0.8221","0.9289","0.7549","0.2925","0.6917","39.5","22.56","19.67","0.45","2.99","24.21","90.48","0.47","5.91","6","8.71","23.33","17.46","50.86","22.88","19.18","7.08","10.62","","","0","0","0","0.49","6.1","44940","","","46220","44626","19.4","21.43","20","9.97","22.7","13.17","81300","710","20.21","32.97","31.08","12.14","3.61","19.99","6.25","3.57","20.15","37.4","2020","Stephens","14.1","17.1","2020","Stephens","20.5","2020","Stephens","22.3","21","4","21","1","1","679.61","101.32","37.99","23.22","","","","","21.372088","10.686044","18.6","73.1","177.6","52.2","0","20.9","0","0.43","1.07","0.21","32.03","96.55","2","1","1","0","0","0","0.11","0.21","0","0.21","13.68","0","0","44.57","100","100","0.17","0.4","50","16.67","33.33","0","0","0","0","0","45.83","0.25","43.09","0.25","52.64","43.09","0.3","23.21"
"Sterling","48431","1274","0.0909","0.1383","0.1818","0.4308","0.1107","34.4","30.61","10.6","0","0","38.15","82.81","2.47","2.71","6","10.62","5.43","9.38","58.16","8.51","20.66","12.67","0.99","","","0","0","0","0.38","6.4","53194","","","","53889","2.42","","","4.79","0.92","9.88","75000","773","10.89","48.69","22.05","10.89","7.48","10.65","3.15","3.23","35.19","36.5","2020","Sterling","12.6","18.2","2020","Sterling","17.7","2020","Sterling","21.3","18","2","18","0","0","","","","","","","","","","","1.1","0","0","0","0","0","79.9","0","0.76","0.76","","100","1","1","1","0","0","0","0.78","0","0","0.78","21.98","0","0","70.45","0","0","0.13","0","0","0","100","0","0","0","0","0","39.87","2.66","40.5","38.92","41.62","29.89","0.72","39.01"
