"County","TDSHS_DEATHS_SUICIDE","Year"
"Comal",NA,2018
"Comanche",NA,2018
"Concho",NA,2018
"Cooke",NA,2018
"Coryell",NA,2018
"Crockett",NA,2018
"Crosby",NA,2018
"Dallam",NA,2018
"Dallas",168,2018
"Dawson",NA,2018
"Deaf Smith",NA,2018
"Delta",NA,2018
"Denton",45,2018
"DeWitt",NA,2018
"Dickens",NA,2018
"Dimmit",NA,2018
"Eastland",NA,2018
"Ector",13,2018
"El Paso",47,2018
"Ellis",16,2018
"Erath",NA,2018
"Fannin",NA,2018
"Fayette",NA,2018
"Fisher",NA,2018
"Floyd",NA,2018
"Fort Bend",56,2018
"Franklin",NA,2018
"Freestone",NA,2018
"Frio",NA,2018
"Galveston",40,2018
"Gillespie",NA,2018
"Goliad",NA,2018
"Gonzales",NA,2018
"Gray",NA,2018
"Grayson",16,2018
"Gregg",11,2018
"Grimes",NA,2018
"Guadalupe",15,2018
"Hale",NA,2018
"Hamilton",NA,2018
"Hardeman",NA,2018
"Hardin",NA,2018
"Harris",270,2018
"Harrison",NA,2018
"Haskell",NA,2018
"Hays",18,2018
"Henderson",13,2018
"Hidalgo",18,2018
"Hill",NA,2018
"Hockley",NA,2018
"Hood",14,2018
"Hopkins",12,2018
"Houston",NA,2018
"Howard",10,2018
"Hunt",12,2018
"Hutchinson",NA,2018
"Jack",NA,2018
"Jackson",NA,2018
"Jasper",NA,2018
"Jefferson",20,2018
"Jim Wells",NA,2018
"Johnson",20,2018
"Jones",NA,2018
"Kaufman",21,2018
"Kendall",NA,2018
"Kerr",16,2018
"Kinney",NA,2018
"Kleberg",NA,2018
"La Salle",NA,2018
"Lamar",NA,2018
"Lavaca",NA,2018
"Lee",NA,2018
"Leon",NA,2018
"Liberty",13,2018
"Limestone",NA,2018
"Live Oak",NA,2018
"Llano",NA,2018
"Lubbock",27,2018
"Lynn",NA,2018
"Marion",NA,2018
"Martin",NA,2018
"Matagorda",NA,2018
"Maverick",NA,2018
"McCulloch",NA,2018
"McLennan",24,2018
"McMullen",NA,2018
"Medina",NA,2018
"Midland",27,2018
"Milam",NA,2018
"Montague",NA,2018
"Montgomery",51,2018
"Moore",NA,2018
"Morris",NA,2018
"Nacogdoches",11,2018
"Navarro",NA,2018
"Newton",NA,2018
"Nolan",NA,2018
"Nueces",32,2018
"Ochiltree",NA,2018
"Oldham",NA,2018
"Orange",11,2018
"Palo Pinto",NA,2018
"Panola",NA,2018
"Parker",16,2018
"Parmer",NA,2018
"Polk",12,2018
"Potter",15,2018
"Presidio",NA,2018
"Rains",NA,2018
"Randall",19,2018
"Red River",NA,2018
"Robertson",NA,2018
"Rockwall",11,2018
"Runnels",NA,2018
"Rusk",NA,2018
"Sabine",NA,2018
"San Augustine",NA,2018
"San Jacinto",NA,2018
"San Patricio",NA,2018
"Schleicher",NA,2018
"Shelby",NA,2018
"Smith",31,2018
"Somervell",NA,2018
"Starr",NA,2018
"Stephens",NA,2018
"Sutton",NA,2018
"Tarrant",174,2018
"Taylor",11,2018
"Terry",NA,2018
"Titus",NA,2018
"Tom Green",13,2018
"Travis",66,2018
"Trinity",NA,2018
"Tyler",NA,2018
"Upshur",NA,2018
"Upton",NA,2018
"Val Verde",NA,2018
"Van Zandt",NA,2018
"Victoria",NA,2018
"Walker",NA,2018
"Waller",NA,2018
"Washington",NA,2018
"Webb",NA,2018
"Wharton",NA,2018
"Wheeler",NA,2018
"Wichita",14,2018
"Wilbarger",NA,2018
"Williamson",47,2018
"Wilson",NA,2018
"Winkler",NA,2018
"Wise",NA,2018
"Wood",NA,2018
"Young",NA,2018
"Anderson",NA,2019
"Angelina",NA,2019
"Aransas",NA,2019
"Archer",NA,2019
"Atascosa",NA,2019
"Austin",NA,2019
"Bailey",NA,2019
"Bandera",NA,2019
"Bastrop",NA,2019
"Bee",NA,2019
"Bell",40,2019
"Bexar",131,2019
"Blanco",NA,2019
"Bosque",NA,2019
"Bowie",15,2019
"Brazoria",26,2019
"Brazos",13,2019
"Brewster",NA,2019
"Brooks",NA,2019
"Brown",NA,2019
"Burleson",NA,2019
"Burnet",NA,2019
"Caldwell",NA,2019
"Calhoun",NA,2019
"Callahan",NA,2019
"Cameron",20,2019
"Camp",NA,2019
"Carson",NA,2019
"Cass",NA,2019
"Chambers",NA,2019
"Cherokee",NA,2019
"Childress",NA,2019
"Clay",NA,2019
"Coleman",NA,2019
"Collin",64,2019
"Colorado",NA,2019
"Comal",24,2019
"Comanche",NA,2019
"Concho",NA,2019
"Cooke",NA,2019
"Coryell",NA,2019
"Crane",NA,2019
"Culberson",NA,2019
"Dallam",NA,2019
"Dallas",159,2019
"Dawson",NA,2019
"Denton",61,2019
"DeWitt",NA,2019
"Dickens",NA,2019
"Dimmit",NA,2019
"Donley",NA,2019
"Duval",NA,2019
"Eastland",NA,2019
"Ector",10,2019
"El Paso",47,2019
"Ellis",14,2019
"Erath",NA,2019
"Falls",NA,2019
"Fannin",NA,2019
"Fayette",NA,2019
"Fisher",NA,2019
