"County","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Polk",45446,45580,45510,45522,45813,46613,47656,48990,49955,51353,50155,49372
"Potter",121371,122305,122739,122127,122061,121272,120632,120340,118711,117415,118323,119043
"Presidio",7875,7754,7619,7386,7194,7057,7156,7100,6856,6704,6808,6328
"Rains",10913,11003,10939,11033,11013,11136,11304,11730,12147,12514,12001,12013
"Randall",121179,123424,124975,126753,128733,130368,132342,134015,135691,137713,136005,139176
"Reagan",3353,3393,3477,3633,3785,3807,3726,3712,3736,3849,3766,3363
"Real",3322,3431,3352,3318,3347,3297,3399,3417,3477,3452,3429,2852
"Red River",12874,12682,12723,12487,12445,12345,12179,12164,12143,12023,12115,11685
"Reeves",13834,14098,14265,14494,15124,15574,15229,15166,15513,15976,15546,14584
"Refugio",7375,7321,7256,7279,7362,7326,7272,7180,7000,6948,7015,6822
"Roberts",924,926,942,919,914,910,910,941,898,854,784,724
"Robertson",16555,16657,16455,16431,16468,16698,16804,17153,17219,17074,17094,16839
"Rockwall",78919,81045,82710,84670,87064,90170,93421,96824,100546,104915,101175,105227
"Runnels",10508,10500,10335,10196,10294,10387,10276,10282,10178,10264,10280,9887
"Rusk",53361,53702,53793,53332,53212,52965,52892,54213,54301,54406,53988,52542
"Sabine",10871,10727,10524,10424,10428,10440,10381,10417,10576,10542,10470,9974
"San Augustine",8854,8799,8789,8663,8481,8349,8288,8302,8254,8237,8260,7964
"San Jacinto",26474,26780,26942,26731,27049,27361,27732,28231,28717,28859,28574,27380
"San Patricio",64431,64458,65260,66134,66656,67117,67311,67210,66671,66730,66969,68600
"San Saba",6134,6047,5990,5960,5858,5922,5922,5996,6060,6055,6004,5775
"Schleicher",3503,3310,3259,3191,3164,3195,3057,2989,2880,2793,2898,2547
"Scurry",16928,16868,17125,17272,17377,17570,17394,17003,16812,16703,16918,16985
"Shackelford",3383,3334,3361,3375,3316,3333,3337,3289,3256,3265,3291,3145
"Shelby",25458,25733,26062,25977,25607,25373,25566,25225,25307,25274,25263,24254
"Sherman",3025,3014,3039,3070,3065,3058,3070,3046,3101,3022,3046,2357
"Smith",210408,212764,214811,216475,219642,222390,225161,227195,229749,232751,230184,231429
"Somervell",8500,8426,8554,8566,8559,8618,8671,8855,9030,9128,8958,9170
"Starr",61134,61642,61970,62381,62965,63484,63894,64130,64249,64633,64032,65568
"Stephens",9620,9536,9614,9371,9342,9385,9377,9287,9405,9366,9358,9142
"Sterling",1137,1170,1191,1229,1340,1333,1339,1287,1304,1291,1274,1391
"Stonewall",1496,1463,1452,1418,1388,1398,1401,1376,1352,1350,1412,1358
"Sutton",4062,3987,3916,3982,3969,3915,3886,3792,3752,3776,3793,3417
"Swisher",7918,7804,7845,7720,7554,7477,7428,7446,7413,7397,7403,7055
"Tarrant",1817480,1847882,1882205,1912767,1946122,1984880,2023556,2056451,2081446,2102515,2077153,2091953
"Taylor",131835,132853,134084,133927,134987,136133,136257,136634,137294,138034,137521,141739
"Terrell",1011,950,921,891,910,867,818,814,810,776,903,979
"Terry",12682,12661,12632,12713,12795,12759,12770,12429,12344,12337,12408,11937
"Throckmorton",1639,1637,1610,1606,1613,1559,1537,1510,1504,1501,1500,1426
"Titus",32419,32452,32612,32587,32502,32626,32463,32619,32743,32750,32709,31327
"Tom Green",110678,111751,113307,114680,116319,117514,117634,117566,118014,119200,118645,119048
"Travis",1030503,1061709,1096886,1122248,1152260,1179805,1206110,1227585,1246572,1273954,1250884,1267795
"Trinity",14729,14686,14372,14445,14298,14539,14543,14677,14688,14651,14689,13695
"Tyler",21764,21674,21504,21508,21468,21370,21423,21517,21609,21672,21524,20032
"Upshur",39377,39731,39918,39757,40280,40317,40771,41069,41179,41753,41386,40781
"Upton",3338,3284,3263,3386,3482,3652,3690,3658,3637,3657,3651,3340
"Uvalde",26443,26588,26746,26904,27022,26949,27081,27043,26787,26741,26899,24918
"Val Verde",48971,48972,48976,49044,48845,48891,48911,49028,48988,49025,49018,47767
"Van Zandt",52579,52487,52207,52328,52781,53430,54367,55163,55966,56590,55970,58782
"Victoria",86883,87557,89116,90066,91042,92136,92402,92045,91878,92084,92044,91280
"Walker",68241,68409,68609,69404,70076,70836,71845,72816,73136,72971,72295,76506
"Waller",43519,44101,44335,45408,46765,48641,50046,51717,53512,55246,53626,55505
"Ward",10594,10671,10823,11205,11571,11631,11571,11383,11709,11998,11745,11375
"Washington",33708,33966,33930,34201,34403,34836,34740,34861,35496,35882,35275,35561
"Webb",251370,255935,260595,264430,267465,269865,272301,273691,275120,276652,274847,266963
"Wharton",41281,41287,41136,41122,41095,41383,41609,41837,41499,41556,41672,41602
"Wheeler",5387,5446,5589,5716,5696,5658,5518,5300,5158,5056,5187,5091
"Wichita",131794,130803,131701,132192,132646,130961,131295,131689,131807,132230,132154,129419
"Wilbarger",13509,13452,13289,13204,12988,13055,12880,12683,12777,12769,12717,12887
"Willacy",22225,22167,22208,22019,21935,21863,21761,21508,21450,21358,21419,20423
"Williamson",426287,442031,455750,470017,487913,507133,527622,546251,566463,590551,570437,591759
"Wilson",43051,43667,44353,45217,46145,47178,48212,49211,50196,51070,50110,49374
"Winkler",7085,7165,7371,7635,7819,8027,7915,7605,7778,8010,7822,7629
"Wise",59115,59967,60424,61019,61702,62857,64478,65848,68284,69984,67884,67877
"Wood",41977,42092,42383,42346,42764,43117,43753,44263,45157,45539,45054,44615
"Yoakum",7851,7971,8055,8222,8398,8644,8652,8557,8590,8713,8612,7707
"Young",18522,18355,18278,18354,18274,18163,18098,17922,17986,18010,17961,17894
"Zapata",14087,14227,14276,14385,14376,14493,14446,14254,14149,14179,14243,13945
"Zavala",11729,11875,12014,12195,12243,12310,12121,11957,11969,11840,11930,9900
