County,2020 Total Population,2020 LBSW Total,Ratio of 2020 Population to LBSW,"Ratio of LBSWs to 100,000 Population",Rank
Jim Hogg,"5,077",1,"5,077.00",19.7,83
Jim Wells,"42,890",13,"3,299.20",30.3,44
Johnson,"171,701",22,"7,804.60",12.8,129
Jones,"19,735",3,"6,578.30",15.2,106
Karnes,"15,393",1,"15,393.00",6.5,186
Kaufman,"125,134",19,"6,586.00",15.2,107
Kendall,"46,278",5,"9,255.60",10.8,151
Kenedy,476,0,-,0,-
Kent,795,1,795,125.8,3
Kerr,"52,267",5,"10,453.40",9.6,160
Kimble,"4,344",0,-,0,-
King,309,0,-,0,-
Kinney,"3,462",0,-,0,-
Kleberg,"30,987",8,"3,873.40",25.8,54
Knox,"3,937",1,"3,937.00",25.4,56
La Salle,"8,309",0,-,0,-
Lamar,"50,014",19,"2,632.30",38,29
Lamb,"12,776",3,"4,258.70",23.5,67
Lampasas,"21,037",1,"21,037.00",4.8,190
Lavaca,"20,735",4,"5,183.80",19.3,85
Lee,"17,595",2,"8,797.50",11.4,144
Leon,"17,707",3,"5,902.30",16.9,100
Liberty,"85,284",3,"28,428.00",3.5,198
Limestone,"23,544",8,"2,943.00",34,37
Lipscomb,"3,651",0,-,0,-
Live Oak,"12,030",1,"12,030.00",8.3,172
Llano,"19,452",2,"9,726.00",10.3,155
Loving,92,0,-,0,-
Lubbock,"317,210",160,"1,982.60",50.4,17
Lynn,"5,588",0,-,0,-
Madison,"14,527",3,"4,842.30",20.7,80
Marion,"10,294",3,"3,431.30",29.1,47
Martin,"6,044",0,-,0,-
Mason,"3,899",0,-,0,-
Matagorda,"37,064",4,"9,266.00",10.8,152
Maverick,"59,938",9,"6,659.80",15,110
McCulloch,"8,660",1,"8,660.00",11.5,142
McLennan,"253,066",80,"3,163.30",31.6,40
McMullen,783,0,-,0,-
Medina,"50,594",4,"12,648.50",7.9,176
Menard,"2,188",0,-,0,-
Midland,"187,364",36,"5,204.60",19.2,86
Milam,"24,635",2,"12,317.50",8.1,175
Mills,"4,870",3,"1,623.30",61.6,11
Mitchell,"9,865",1,"9,865.00",10.1,156
Montague,"19,199",5,"3,839.80",26,53
Montgomery,"613,951",34,"18,057.40",5.5,188
Moore,"21,575",3,"7,191.70",13.9,121
Morris,"12,448",3,"4,149.30",24.1,61
Motley,"1,172",0,-,0,-
Nacogdoches,"64,106",29,"2,210.60",45.2,25
Navarro,"47,985",11,"4,362.30",22.9,69
Newton,"13,724",1,"13,724.00",7.3,182
Nolan,"15,642",3,"5,214.00",19.2,88
Nueces,"383,718",86,"4,461.80",22.4,73
Ochiltree,"11,309",1,"11,309.00",8.8,166
Oldham,"2,200",1,"2,200.00",45.5,24
Orange,"86,155",11,"7,832.30",12.8,130
Palo Pinto,"27,859",3,"9,286.30",10.8,153
Panola,"24,576",3,"8,192.00",12.2,133
Parker,"135,621",18,"7,534.50",13.3,126
Parmer,"9,200",1,"9,200.00",10.9,149
Pecos,"16,533",2,"8,266.50",12.1,135
Polk,"49,080",7,"7,011.40",14.3,118
Potter,"122,706",63,"1,947.70",51.3,15
Presidio,"5,906",0,-,0,-
Rains,"11,378",2,"5,689.00",17.6,94
Randall,"138,104",51,"2,707.90",36.9,31
Reagan,"4,226",0,-,0,-
Real,"3,407",1,"3,407.00",29.4,46
Red River,"12,610",6,"2,101.70",47.6,20
Reeves,"15,707",1,"15,707.00",6.4,187
Refugio,"7,573",0,-,0,-
Roberts,983,1,983,101.7,4
Robertson,"16,888",4,"4,222.00",23.7,63
Rockwall,"102,243",12,"8,520.30",11.7,140
Runnels,"11,009",2,"5,504.50",18.2,91
Rusk,"52,767",8,"6,595.90",15.2,108
Sabine,"9,936",1,"9,936.00",10.1,157
San Augustine,"8,405",1,"8,405.00",11.9,137
San Jacinto,"28,844",1,"28,844.00",3.5,199
San Patricio,"71,325",7,"10,189.30",9.8,159
San Saba,"5,873",1,"5,873.00",17,99
Schleicher,"3,312",0,-,0,-
Scurry,"18,368",2,"9,184.00",10.9,148
Shackelford,"3,405",0,-,0,-
Shelby,"25,545",6,"4,257.50",23.5,66
Sherman,"3,276",1,"3,276.00",30.5,42
Smith,"235,143",86,"2,734.20",36.6,32
