County,2020 Total Population,2020 LMSW Total,Ratio of 2020 Population to LMSW,"Ratio of LMSWs to 100,000 Population",Rank
Sterling,"1,252",1,"1,252.00",79.9,3
Stonewall,"1,523",0,-,0,181
Sutton,"4,381",0,-,0,181
Swisher,"7,414",0,-,0,181
Tarrant,"2,143,755","1,365","1,570.50",63.7,6
Taylor,"139,457",92,"1,515.80",66,5
Terrell,"1,054",0,-,0,181
Terry,"13,040",0,-,0,181
Throckmorton,"1,519",0,-,0,181
Titus,"32,953",14,"2,353.80",42.5,23
Tom Green,"123,276",40,"3,081.90",32.4,49
Travis,"1,291,502","1,239","1,042.40",95.9,1
Trinity,"14,233",0,-,0,181
Tyler,"21,343",4,"5,335.80",18.7,100
Upshur,"41,655",2,"20,827.50",4.8,171
Upton,"3,983",0,-,0,181
Uvalde,"27,937",6,"4,656.20",21.5,89
Val Verde,"48,253",5,"9,650.60",10.4,146
Van Zandt,"55,469",8,"6,933.60",14.4,123
Victoria,"97,744",32,"3,054.50",32.7,48
Walker,"73,997",10,"7,399.70",13.5,127
Waller,"50,731",6,"8,455.20",11.8,138
Ward,"13,592",0,-,0,181
Washington,"35,155",11,"3,195.90",31.3,52
Webb,"276,183",40,"6,904.60",14.5,122
Wharton,"41,941",4,"10,485.30",9.5,151
Wheeler,"5,783",0,-,0,181
Wichita,"133,138",45,"2,958.60",33.8,45
Wilbarger,"13,038",6,"2,173.00",46,18
Willacy,"22,134",9,"2,459.30",40.7,26
Williamson,"589,914",211,"2,795.80",35.8,39
Wilson,"51,802",15,"3,453.50",29,58
Winkler,"9,295",1,"9,295.00",10.8,144
Wise,"65,807",18,"3,655.90",27.4,64
Wood,"45,292",5,"9,058.40",11,142
Yoakum,"9,225",0,-,0,181
Young,"18,712",4,"4,678.00",21.4,90
Zapata,"14,409",0,-,0,181
Zavala,"12,682",0,-,0,181
Texas Total,"29,677,668","11,416","2,599.70",38.5,-
