County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Moore County, TX",4,20654,19.37,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Morris County, TX",4,12393,32.28,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Motley County, TX",1,1185,84.39,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Nacogdoches County, TX",27,64753,41.70,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Navarro County, TX",14,50694,27.62,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Newton County, TX",0,13414,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Nolan County, TX",4,14835,26.96,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Nueces County, TX",162,363148,44.61,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Ochiltree County, TX",2,9598,20.84,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Oldham County, TX",0,2135,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Orange County, TX",25,82878,30.16,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Palo Pinto County, TX",5,29320,17.05,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Panola County, TX",3,23187,12.94,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Parker County, TX",50,148198,33.74,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Parmer County, TX",1,9522,10.50,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Pecos County, TX",2,15718,12.72,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Polk County, TX",10,52995,18.87,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Potter County, TX",48,116004,41.38,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Presidio County, TX",2,6508,30.73,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Rains County, TX",2,12552,15.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Randall County, TX",88,139899,62.90,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Reagan County, TX",1,3833,26.09,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Real County, TX",1,3411,29.32,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Red River County, TX",2,11995,16.67,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Reeves County, TX",1,15949,6.27,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Refugio County, TX",2,6877,29.08,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Roberts County, TX",0,813,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Robertson County, TX",1,17155,5.83,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Rockwall County, TX",104,109888,94.64,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Runnels County, TX",0,10401,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Rusk County, TX",13,54324,23.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Sabine County, TX",2,10507,19.03,ADA Masterfile 2019; Census County Pop. Estimates 2020
"San Augustine County, TX",3,8248,36.37,ADA Masterfile 2019; Census County Pop. Estimates 2020
"San Jacinto County, TX",1,29301,3.41,ADA Masterfile 2019; Census County Pop. Estimates 2020
"San Patricio County, TX",19,67069,28.33,ADA Masterfile 2019; Census County Pop. Estimates 2020
"San Saba County, TX",3,6039,49.68,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Schleicher County, TX",0,2761,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Scurry County, TX",5,16662,30.01,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Shackelford County, TX",1,3300,30.30,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Shelby County, TX",5,24915,20.07,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Sherman County, TX",0,3027,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Smith County, TX",137,235806,58.10,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Somervell County, TX",3,9139,32.83,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Starr County, TX",9,64266,14.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Stephens County, TX",4,9334,42.85,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Sterling County, TX",0,1315,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Stonewall County, TX",0,1348,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Sutton County, TX",0,3738,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Swisher County, TX",2,7340,27.25,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Tarrant County, TX",1102,2123347,51.90,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Taylor County, TX",84,139200,60.34,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Terrell County, TX",0,702,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
